Time	x1	y1	x2	y2
1.86	-0.652693	-1.2546	-1.45444	-2.03406
1.87	-0.654008	-1.25391	-1.44234	-2.04695
1.88	-0.655214	-1.25329	-1.42958	-2.05998
1.89	-0.656304	-1.25272	-1.41614	-2.07312
1.9	-0.657269	-1.25221	-1.40203	-2.08634
1.91	-0.658098	-1.25178	-1.38722	-2.09961
1.92	-0.658779	-1.25142	-1.37173	-2.11291
1.93	-0.659301	-1.25114	-1.35555	-2.1262
1.94	-0.65965	-1.25096	-1.33867	-2.13946
1.95	-0.65981	-1.25088	-1.3211	-2.15266
1.96	-0.659768	-1.2509	-1.30283	-2.16577
1.97	-0.659505	-1.25104	-1.28388	-2.17877
1.98	-0.659005	-1.2513	-1.26425	-2.19163
1.99	-0.658249	-1.2517	-1.24395	-2.20434
2	-0.65722	-1.25224	-1.22298	-2.21686
2.01	-0.655898	-1.25294	-1.20137	-2.22917
2.02	-0.654264	-1.25379	-1.17911	-2.24127
2.03	-0.652299	-1.25481	-1.15622	-2.25314
2.04	-0.649983	-1.25602	-1.13273	-2.26475
2.05	-0.647296	-1.2574	-1.10864	-2.2761
2.06	-0.64422	-1.25898	-1.08399	-2.28718
2.07	-0.640736	-1.26076	-1.05877	-2.29799
2.08	-0.636825	-1.26274	-1.03302	-2.3085
2.09	-0.632471	-1.26493	-1.00676	-2.31873
2.1	-0.627655	-1.26733	-0.980012	-2.32866
2.11	-0.622362	-1.26994	-0.95279	-2.33829
2.12	-0.616576	-1.27276	-0.92512	-2.34764
2.13	-0.610283	-1.27579	-0.897024	-2.35668
2.14	-0.60347	-1.27903	-0.868525	-2.36544
2.15	-0.596122	-1.28248	-0.839643	-2.37391
2.16	-0.588229	-1.28612	-0.810401	-2.38209
2.17	-0.579781	-1.28996	-0.78082	-2.38999
2.18	-0.570766	-1.29397	-0.75092	-2.39762
2.19	-0.561176	-1.29817	-0.720723	-2.40497
2.2	-0.551004	-1.30252	-0.690249	-2.41205
2.21	-0.540242	-1.30703	-0.659516	-2.41888
2.22	-0.528886	-1.31167	-0.628545	-2.42544
2.23	-0.51693	-1.31643	-0.597353	-2.43175
2.24	-0.50437	-1.3213	-0.565959	-2.43781
2.25	-0.491205	-1.32626	-0.53438	-2.44362
2.26	-0.477432	-1.33128	-0.502633	-2.44919
2.27	-0.463051	-1.33636	-0.470735	-2.45452
2.28	-0.448063	-1.34147	-0.438702	-2.4596
2.29	-0.43247	-1.34658	-0.406551	-2.46445
2.3	-0.416275	-1.35168	-0.374296	-2.46906
2.31	-0.399481	-1.35675	-0.341953	-2.47342
2.32	-0.382095	-1.36175	-0.309537	-2.47754
2.33	-0.364123	-1.36668	-0.277063	-2.48142
2.34	-0.345572	-1.37149	-0.244546	-2.48505
2.35	-0.326454	-1.37618	-0.211999	-2.48843
2.36	-0.306777	-1.3807	-0.179437	-2.49155
2.37	-0.286554	-1.38505	-0.146876	-2.49441
2.38	-0.2658	-1.38919	-0.114328	-2.49699
2.39	-0.244528	-1.3931	-0.0818086	-2.4993
2.4	-0.222756	-1.39675	-0.0493319	-2.50132
2.41	-0.200502	-1.40013	-0.0169123	-2.50305
2.42	-0.177785	-1.4032	0.0154357	-2.50447
2.43	-0.154628	-1.40594	0.0476975	-2.50557
2.44	-0.131053	-1.40834	0.0798585	-2.50635
2.45	-0.107085	-1.41038	0.111904	-2.5068
2.46	-0.0827506	-1.41202	0.143819	-2.5069
2.47	-0.0580779	-1.41325	0.175589	-2.50664
2.48	-0.0330966	-1.41407	0.207198	-2.50601
2.49	-0.00783828	-1.41444	0.238633	-2.505
2.5	0.0176642	-1.41435	0.269877	-2.5036
2.51	0.0433763	-1.4138	0.300916	-2.5018
2.52	0.0692622	-1.41277	0.331736	-2.49959
2.53	0.0952847	-1.41126	0.362322	-2.49696
2.54	0.121406	-1.40926	0.392659	-2.49391
2.55	0.147586	-1.40676	0.422733	-2.49043
2.56	0.173785	-1.40376	0.452531	-2.48652
2.57	0.199963	-1.40028	0.48204	-2.48216
2.58	0.226078	-1.3963	0.511247	-2.47737
2.59	0.252091	-1.39184	0.54014	-2.47215
2.6	0.277958	-1.3869	0.568707	-2.46649
2.61	0.303641	-1.3815	0.596938	-2.4604
2.62	0.3291	-1.37566	0.624822	-2.45389
2.63	0.354295	-1.36938	0.652351	-2.44698
2.64	0.379189	-1.3627	0.679516	-2.43966
2.65	0.403746	-1.35562	0.70631	-2.43195
2.66	0.427932	-1.34817	0.732726	-2.42388
2.67	0.451713	-1.34039	0.758757	-2.41545
2.68	0.475059	-1.33229	0.7844	-2.40669
2.69	0.497941	-1.3239	0.80965	-2.39762
2.7	0.520333	-1.31525	0.834503	-2.38825
2.71	0.542212	-1.30637	0.858957	-2.37862
2.72	0.563555	-1.2973	0.88301	-2.36874
2.73	0.584342	-1.28806	0.906661	-2.35865
2.74	0.604558	-1.27869	0.929908	-2.34836
2.75	0.624188	-1.26922	0.952752	-2.3379
2.76	0.643218	-1.25967	0.975192	-2.3273
2.77	0.661638	-1.25008	0.99723	-2.31658
2.78	0.67944	-1.24049	1.01887	-2.30577
2.79	0.696618	-1.23091	1.0401	-2.2949
2.8	0.713166	-1.22139	1.06094	-2.28398
2.81	0.729082	-1.21195	1.08138	-2.27305
2.82	0.744363	-1.20261	1.10142	-2.26212
2.83	0.759009	-1.19341	1.12107	-2.25122
2.84	0.773021	-1.18438	1.14033	-2.24038
2.85	0.786402	-1.17553	1.15919	-2.2296
2.86	0.799153	-1.16689	1.17767	-2.21892
2.87	0.811279	-1.15848	1.19576	-2.20835
2.88	0.822783	-1.15033	1.21346	-2.19791
2.89	0.833672	-1.14245	1.23078	-2.18762
2.9	0.843949	-1.13487	1.24772	-2.17749
2.91	0.853622	-1.12761	1.26426	-2.16753
2.92	0.862695	-1.12068	1.28043	-2.15777
2.93	0.871176	-1.11409	1.29621	-2.14822
2.94	0.879071	-1.10786	1.31161	-2.13888
2.95	0.886386	-1.10201	1.32663	-2.12976
2.96	0.893128	-1.09655	1.34126	-2.12089
2.97	0.899303	-1.09149	1.3555	-2.11226
2.98	0.904917	-1.08683	1.36936	-2.10388
2.99	0.909977	-1.08259	1.38282	-2.09577
3	0.914488	-1.07878	1.39589	-2.08792
3.01	0.918457	-1.0754	1.40856	-2.08034
3.02	0.921889	-1.07246	1.42083	-2.07304
3.03	0.924788	-1.06996	1.4327	-2.06602
3.04	0.927162	-1.0679	1.44415	-2.05928
3.05	0.929013	-1.06629	1.45519	-2.05282
3.06	0.930347	-1.06512	1.46582	-2.04665
3.07	0.931168	-1.0644	1.47601	-2.04076
3.08	0.931481	-1.06413	1.48577	-2.03516
3.09	0.931289	-1.0643	1.4951	-2.02983
3.1	0.930596	-1.0649	1.50397	-2.02479
3.11	0.929407	-1.06594	1.51239	-2.02002
3.12	0.927725	-1.06741	1.52035	-2.01553
3.13	0.925553	-1.06929	1.52783	-2.01132
3.14	0.922896	-1.07159	1.53484	-2.00737
3.15	0.919758	-1.07429	1.54135	-2.00368
3.16	0.916142	-1.07738	1.54737	-2.00026
3.17	0.912052	-1.08084	1.55288	-1.99709
3.18	0.907494	-1.08468	1.55787	-1.99417
3.19	0.902472	-1.08886	1.56233	-1.9915
3.2	0.896991	-1.09339	1.56625	-1.98907
3.21	0.891056	-1.09823	1.56963	-1.98688
3.22	0.884674	-1.10338	1.57246	-1.98492
3.23	0.87785	-1.10882	1.57472	-1.9832
3.24	0.870593	-1.11454	1.57641	-1.98171
3.25	0.862908	-1.1205	1.57752	-1.98044
3.26	0.854804	-1.1267	1.57804	-1.97939
3.27	0.84629	-1.13311	1.57797	-1.97857
3.28	0.837374	-1.13972	1.57731	-1.97796
3.29	0.828066	-1.14651	1.57604	-1.97758
3.3	0.818376	-1.15345	1.57416	-1.97742
3.31	0.808313	-1.16053	1.57167	-1.97748
3.32	0.79789	-1.16772	1.56857	-1.97777
3.33	0.787116	-1.17501	1.56486	-1.97828
3.34	0.776004	-1.18239	1.56053	-1.97903
3.35	0.764565	-1.18982	1.55559	-1.98
3.36	0.752811	-1.19729	1.55003	-1.98122
3.37	0.740755	-1.20479	1.54387	-1.98267
3.38	0.728408	-1.2123	1.5371	-1.98438
3.39	0.715784	-1.2198	1.52973	-1.98633
3.4	0.702895	-1.22727	1.52176	-1.98855
3.41	0.689754	-1.23471	1.5132	-1.99102
3.42	0.676373	-1.24209	1.50405	-1.99377
3.43	0.662766	-1.24941	1.49431	-1.99679
3.44	0.648945	-1.25664	1.48401	-2.00009
3.45	0.634924	-1.26378	1.47313	-2.00368
3.46	0.620714	-1.27083	1.4617	-2.00756
3.47	0.60633	-1.27775	1.44971	-2.01174
3.48	0.591784	-1.28455	1.43718	-2.01622
3.49	0.577089	-1.29122	1.42411	-2.02101
3.5	0.562258	-1.29775	1.4105	-2.02611
3.51	0.547305	-1.30413	1.39638	-2.03152
3.52	0.532244	-1.31035	1.38173	-2.03725
3.53	0.517087	-1.3164	1.36658	-2.0433
3.54	0.501849	-1.32229	1.35092	-2.04967
3.55	0.486543	-1.32799	1.33477	-2.05637
3.56	0.471183	-1.33352	1.31813	-2.06339
3.57	0.455784	-1.33886	1.301	-2.07073
3.58	0.44036	-1.34401	1.28339	-2.0784
3.59	0.424927	-1.34897	1.26531	-2.08639
3.6	0.409498	-1.35373	1.24676	-2.09469
3.61	0.39409	-1.3583	1.22775	-2.10332
3.62	0.378718	-1.36266	1.20827	-2.11226
3.63	0.363397	-1.36683	1.18834	-2.1215
3.64	0.348145	-1.37079	1.16795	-2.13105
3.65	0.332976	-1.37455	1.1471	-2.14089
3.66	0.317909	-1.37811	1.12581	-2.15102
3.67	0.302959	-1.38147	1.10407	-2.16143
3.68	0.288144	-1.38464	1.08188	-2.17211
3.69	0.273481	-1.38761	1.05924	-2.18304
3.7	0.258987	-1.39038	1.03616	-2.19422
3.71	0.244679	-1.39297	1.01263	-2.20564
3.72	0.230576	-1.39537	0.988657	-2.21727
3.73	0.216695	-1.39759	0.964237	-2.2291
3.74	0.203052	-1.39964	0.939369	-2.24111
3.75	0.189667	-1.40151	0.914053	-2.25329
3.76	0.176555	-1.40322	0.88829	-2.26561
3.77	0.163734	-1.40477	0.862077	-2.27806
3.78	0.151221	-1.40617	0.835415	-2.2906
3.79	0.139031	-1.40742	0.808301	-2.30322
3.8	0.127181	-1.40854	0.780737	-2.31588
3.81	0.115686	-1.40953	0.752721	-2.32856
3.82	0.10456	-1.4104	0.724254	-2.34122
3.83	0.0938165	-1.41115	0.695337	-2.35384
3.84	0.0834682	-1.4118	0.66597	-2.36637
3.85	0.0735265	-1.41235	0.636157	-2.37879
3.86	0.0640015	-1.41281	0.605898	-2.39104
3.87	0.0549018	-1.41319	0.575199	-2.4031
3.88	0.0462342	-1.4135	0.544065	-2.41491
3.89	0.0380039	-1.41374	0.512502	-2.42643
3.9	0.0302136	-1.41393	0.480518	-2.43763
3.91	0.0228641	-1.41406	0.448123	-2.44843
3.92	0.0159533	-1.41416	0.415328	-2.45881
3.93	0.00947669	-1.41421	0.382147	-2.46871
3.94	0.00342648	-1.41424	0.348597	-2.47807
3.95	-0.00220816	-1.41424	0.314694	-2.48685
3.96	-0.00744145	-1.41422	0.280461	-2.49499
3.97	-0.0122911	-1.41419	0.24592	-2.50245
3.98	-0.0167784	-1.41414	0.211098	-2.50917
3.99	-0.0209284	-1.41409	0.176023	-2.51511
4	-0.0247695	-1.41402	0.140728	-2.52022
4.01	-0.0283337	-1.41396	0.105245	-2.52447
4.02	-0.0316563	-1.41389	0.0696125	-2.52782
4.03	-0.0347754	-1.41381	0.0338675	-2.53024
4.04	-0.0377317	-1.41374	-0.00194939	-2.5317
4.05	-0.0405677	-1.41366	-0.0377969	-2.5322
4.06	-0.0433276	-1.41358	-0.0736328	-2.53171
4.07	-0.046056	-1.41349	-0.109414	-2.53024
4.08	-0.0487979	-1.4134	-0.145099	-2.52779
4.09	-0.0515977	-1.4133	-0.180646	-2.52437
4.1	-0.0544984	-1.41319	-0.216014	-2.52
4.11	-0.0575412	-1.41307	-0.251165	-2.51471
4.12	-0.0607649	-1.41293	-0.286062	-2.50852
4.13	-0.0642057	-1.41278	-0.32067	-2.50148
4.14	-0.0678964	-1.41261	-0.354958	-2.49364
4.15	-0.0718664	-1.41241	-0.388897	-2.48502
4.16	-0.0761415	-1.41219	-0.422461	-2.47569
4.17	-0.0807438	-1.41193	-0.455626	-2.46568
4.18	-0.085692	-1.41164	-0.488374	-2.45507
4.19	-0.0910011	-1.41131	-0.520685	-2.4439
4.2	-0.0966825	-1.41093	-0.552546	-2.43221
4.21	-0.102745	-1.4105	-0.583943	-2.42008
4.22	-0.109193	-1.41002	-0.614868	-2.40754
4.23	-0.116029	-1.40947	-0.645311	-2.39466
4.24	-0.123254	-1.40886	-0.675266	-2.38147
4.25	-0.130865	-1.40818	-0.704731	-2.36803
4.26	-0.138857	-1.40741	-0.7337	-2.3544
4.27	-0.147224	-1.40656	-0.762173	-2.3406
4.28	-0.155957	-1.40562	-0.79015	-2.32668
4.29	-0.165048	-1.40459	-0.817631	-2.31269
4.3	-0.174484	-1.40345	-0.844617	-2.29866
4.31	-0.184255	-1.4022	-0.87111	-2.28463
4.32	-0.194347	-1.40084	-0.897113	-2.27063
4.33	-0.204746	-1.39936	-0.922628	-2.2567
4.34	-0.215437	-1.39775	-0.94766	-2.24286
4.35	-0.226407	-1.39602	-0.972211	-2.22915
4.36	-0.237639	-1.39416	-0.996285	-2.21559
4.37	-0.249117	-1.39215	-1.01989	-2.20221
4.38	-0.260826	-1.39001	-1.04302	-2.18903
4.39	-0.272749	-1.38772	-1.06568	-2.17607
4.4	-0.28487	-1.38528	-1.08788	-2.16335
4.41	-0.297173	-1.3827	-1.10963	-2.15088
4.42	-0.309642	-1.37996	-1.13091	-2.1387
4.43	-0.32226	-1.37707	-1.15175	-2.12681
4.44	-0.335012	-1.37403	-1.17213	-2.11522
4.45	-0.347881	-1.37083	-1.19206	-2.10396
4.46	-0.360853	-1.36747	-1.21154	-2.09303
4.47	-0.373913	-1.36396	-1.23057	-2.08244
4.48	-0.387045	-1.36029	-1.24916	-2.07221
4.49	-0.400234	-1.35647	-1.2673	-2.06234
4.5	-0.413467	-1.3525	-1.285	-2.05284
4.51	-0.42673	-1.34837	-1.30225	-2.04372
4.52	-0.440008	-1.3441	-1.31905	-2.03498
4.53	-0.45329	-1.33968	-1.3354	-2.02664
4.54	-0.466562	-1.33511	-1.3513	-2.01868
4.55	-0.479811	-1.33041	-1.36674	-2.01112
4.56	-0.493026	-1.32557	-1.38173	-2.00396
4.57	-0.506195	-1.3206	-1.39626	-1.9972
4.58	-0.519307	-1.3155	-1.41032	-1.99085
4.59	-0.532349	-1.31027	-1.42391	-1.9849
4.6	-0.545313	-1.30493	-1.43703	-1.97935
4.61	-0.558186	-1.29948	-1.44967	-1.9742
4.62	-0.57096	-1.29391	-1.46183	-1.96946
4.63	-0.583623	-1.28825	-1.47349	-1.96511
4.64	-0.596166	-1.28249	-1.48466	-1.96116
4.65	-0.60858	-1.27665	-1.49533	-1.9576
4.66	-0.620854	-1.27072	-1.50549	-1.95442
4.67	-0.63298	-1.26473	-1.51513	-1.95163
4.68	-0.644949	-1.25866	-1.52424	-1.94922
4.69	-0.65675	-1.25255	-1.53283	-1.94718
4.7	-0.668375	-1.24638	-1.54088	-1.94551
4.71	-0.679815	-1.24018	-1.54838	-1.9442
4.72	-0.69106	-1.23395	-1.55533	-1.94324
4.73	-0.702102	-1.22769	-1.56172	-1.94263
4.74	-0.71293	-1.22144	-1.56754	-1.94235
4.75	-0.723536	-1.21518	-1.57279	-1.94241
